"sample_id","condition","fssi_frozen_weighted","fssi_frozen_equal_weight","pathological_component","repair_component_reversed","Fib5_three_marker_baseline","collagen_ECM_raw","threshold","annotation_sensitivity","fibroblast_cell_n","dataset_id"
"HK-NS3","perilesional_skin",-1.74391581131556,-1.88813135420153,-0.824619077884076,-3.21752169959834,-1.17045172333628,2.4815683324243,0.4,"marker_purity_subset",173,"GSE191067"
"HK1","keloid",0.461599457510876,0.488372082203984,1.05391864512581,-0.218561121448295,0.518334708731223,3.68527291701455,0.5,"reference_transfer",2150,"GSE191067"
"HK2","keloid",0.323777806038431,0.229479944305309,1.11552091983902,-0.87807127511183,0.753449837475714,4.17909032616482,0.5,"reference_transfer",1075,"GSE191067"
"HK3","keloid",0.0457154991784827,0.000562032399384001,0.197770171511848,-0.245948141491196,-0.306797624740936,3.45551065744547,0.5,"reference_transfer",245,"GSE191067"
"HNSR1","normal_scar",0.402452372646413,0.412016738398255,0.987063768640692,-0.306792049404791,0.729758239822607,4.00959222928121,0.5,"reference_transfer",1806,"GSE191067"
"HNSR2","normal_scar",0.391412073217152,0.444779757206152,1.23144384061446,-0.538550347054234,0.483772285025999,4.12564983233289,0.5,"reference_transfer",2166,"GSE191067"
"HNSR3","normal_scar",-0.65926909966404,-0.602949336332631,0.360603709737364,-1.80739064392012,-0.466260315082253,3.3960368758247,0.5,"reference_transfer",1612,"GSE191067"
"HNS1","normal_skin",-1.33635560781595,-1.41423300288369,-0.0890887579546943,-3.07066330904493,-0.990840028632005,3.15812601461823,0.5,"reference_transfer",2640,"GSE191067"
"HNS2","normal_skin",-1.24226664079812,-1.20522888775668,-0.913623393840862,-1.56973575515145,-0.468875455050235,1.73873984291266,0.5,"reference_transfer",2889,"GSE191067"
"HNS3","normal_skin",-1.53087188286774,-1.50090709015351,-0.737024473979165,-2.45576036037144,-1.18527484159271,2.23564995632144,0.5,"reference_transfer",1589,"GSE191067"
"HK-NS1","perilesional_skin",-0.88960106114487,-0.907200203519909,0.176530167642191,-2.26186316747253,-0.451215407909638,3.50746818475605,0.5,"reference_transfer",3988,"GSE191067"
