accession,celltype,scarvcell_overlap,accession_auditable,n_contexts,n_cells,FSSI,equal_weight_FSSI,pathological_component,repair_component
GSE173252,F3: FRC-like,False,True,2.0,121.0,-1.106262373833794,-1.4381990033807606,-1.2146349023154113,0.9534524711055541
GSE173252,F4: DP_HHIP+,False,True,1.0,58.0,-0.4615372192746535,-0.5050235388336661,-1.6153450312600728,-1.165381170347347
GSE173252,F4: DS_DPEP1+,False,True,2.0,461.0,-0.42329649126711066,-0.6691373125882524,-0.98138831775566,-0.3636368664205604
GSE173252,F4: TNN+COCH+,False,True,2.0,35.0,-0.7641939114918127,-1.0776759634885018,-0.8193884139081548,0.6863673011548074
GSE173252,F5: NGFR+,False,True,2.0,420.0,-1.1989239962887202,-1.3577528304288908,-1.173824710094954,1.2343150638918767
GSE173252,F5: RAMP1+,False,True,2.0,341.0,-1.4559843316331804,-1.7707954080410777,-1.3496871560841346,1.6058678979162353
GSE173252,F6: Inflammatory myofibroblast,False,True,1.0,35.0,0.5996982575513098,0.45574669232424336,0.22492973701786012,-1.1281379089158874
GSE173252,F6: Myofibroblast,False,True,2.0,309.0,0.7957764591810494,0.6793590134158043,0.5261290148752475,-1.1759908946343856
GSE173252,F7: Fascia-like myofibroblast,False,True,2.0,3534.0,1.2496363340395542,1.1963719927855676,1.0388888923721766,-1.546799245273841
GSE173252,F_Fascia,False,True,2.0,1823.0,0.4010031987809399,0.34113171455727836,0.35948488148221314,-0.45954580285919544
GSE173706,F1: Superficial,False,True,3.0,3734.0,-0.4806956931618679,-0.7891157195561298,-0.7376643230442899,0.11835892860808106
GSE173706,F2/3: Stroma_PPARG+,False,True,3.0,951.0,-1.7446738268994135,-2.2900125392014057,-1.4041077127829937,2.224886621597594
GSE173706,F2: Universal,False,True,3.0,1763.0,-0.8932862145377423,-1.0874922847814514,-0.5165025397052255,1.4245673196981967
GSE173706,F3: FRC-like,False,True,3.0,1292.0,-1.2601234164415775,-1.7175597613445124,-1.3105025216250517,1.1890867222674801
GSE173706,F4: DP_HHIP+,False,True,3.0,49.0,-0.3186467181328448,-0.5070611584925055,-1.3172301145180036,-1.0893986029979335
GSE173706,F4: DS_DPEP1+,False,True,3.0,897.0,-0.6306258417294135,-1.0379577386751606,-0.6600918130953654,0.5890775611705822
GSE173706,F4: TNN+COCH+,False,True,3.0,266.0,-0.4437745371167933,-0.6823350275676141,-0.49631035977445526,0.36969677901200626
GSE173706,F5: NGFR+,False,True,3.0,220.0,-1.4194964674696837,-1.6511731250946255,-1.508424489923194,1.2941041503268702
GSE173706,F5: RAMP1+,False,True,3.0,199.0,-1.3835316205519501,-1.8018447459973117,-1.1695232366318413,1.6852925999075945
